qid,brand,entity,search_mom,search_yoy,news_mom,news_yoy,status
Q20987378,Barefoot,Barefoot - Topic (wordmark),+10%,+9%,,,ok
Q7740985,The Hundreds,The Hundreds - Topic (wordmark),-30%,-20%,,,ok
Q125206509,Patta,Patta - Topic (wordmark),-20%,-6%,,,ok
Q6793571,Maurices,Maurices - Store chain,+30%,+10%,,,ok
Q7197417,Piping Hot,Piping Hot Australia - Topic (wordmark),>5000 (breakout),>5000 (breakout),,,ok
Q132531889,Alé,Alé Cycling - Topic (wordmark),>5000 (breakout),>5000 (breakout),,,ok
Q72982331,Francesca's,Francesca's - Topic (wordmark),-20%,-70%,,,ok
Q3146711,IKKS,IKKS - Company,-50%,+500%,,,ok
Q11297188,Kapital,KAPITAL - Topic (wordmark),-2%,+1%,,,ok
Q119149859,Kapital,KAPITAL - Topic (wordmark),-2%,+1%,,,ok
Q115804691,Volcano,Volcano - Topic (wordmark),0%,>5000 (breakout),,,ok
Q5618229,Gump's,Gump's - Topic (wordmark),>5000 (breakout),-30%,,,ok
Q25351738,Joules,Joules - Clothing chain,-2%,-1%,,,ok
Q108582148,Good American,Good American - Company,+130%,-100%,,,ok
Q9171569,Big Star,Big Star - Topic (wordmark),-3%,-20%,,,ok
Q15263093,IRFE,IRFE - Design chain,>5000 (breakout),>5000 (breakout),,,ok
Q3497483,Emporio Armani,Armani - Topic,+2%,-60%,,,ok
Q2422884,American Vintage,American Vintage - Company,-4%,-70%,,,ok
Q6192383,Jigsaw,Jigsaw - Topic (wordmark),-20%,-7%,,,ok
Q136502973,Volt,Volt Fashion Sverige - Topic (wordmark),+250%,>5000 (breakout),,,ok
Q5324709,EXR,EXR - Topic,+180%,>5000 (breakout),,,ok
Q10461856,Crocker,,,,,,no-data
Q28042940,Orchestra,Orchestra Prémaman - Company,+30%,-10%,,,ok
Q7432952,Schuh,Schuh - Store chain,+20%,-70%,,,ok
Q8041451,X-Large,XLARGE - Topic (wordmark),-7%,-20%,,,ok
Q6166759,Jay Jays,Jay Jays - Company,-10%,-70%,,,ok
Q125230974,James Perse,James Perse - Topic (wordmark),-20%,-20%,,,ok
Q2956351,Chantelle,Chantelle - Topic (wordmark),+50%,+20%,,,ok
Q55748823,garment factory,,,,,,no-data
Q5506939,Fuchsia,,,,,,no-data
Q16648226,Women'secret,Women'secret - Topic (wordmark),-30%,-8%,,,ok
Q28401216,Sunski,Sunski - Apparel company,-10%,n/a,,,ok
Q104890420,Just Over the Top,Just Over the Top - Company,-70%,>5000 (breakout),,,ok
Q11993725,Oleana,OLEANA - Topic (wordmark),0%,0%,,,ok
Q6316068,Just Jeans,Just Jeans - Topic (wordmark),-10%,-80%,,,ok
Q55205917,Best Company,Best Company - Topic,>5000 (breakout),>5000 (breakout),,,ok
Q11236730,Niko and...,Niko and... - Topic (wordmark),+20%,+5%,,,ok
Q3401000,Nalini,Nalini - Topic,>5000 (breakout),n/a,,,ok
Q115310947,Terminal X,Terminal X - Topic,+10%,-5%,,,ok
Q130705749,Assem,Assem - Company,+20%,+550%,,,ok
Q2290173,Sirri,Sirri - Topic,>5000 (breakout),>5000 (breakout),,,ok
Q107394070,Number (N)ine,Number Nine - Topic,0%,0%,,,ok
Q945463,Bonia,Bonia - Retail company,+20%,-50%,,,ok
Q3439593,Cubus,Cubus - Chain,+8%,-1%,,,ok
Q3012602,Damart,Damart - Company,-5%,-2%,,,ok
Q7553581,Soffe,Soffe - Clothing retail company,>5000 (breakout),>5000 (breakout),,,ok
Q3305660,Tailored Brands,Tailored Brands - Store chain (company),+400%,-10%,,,ok
Q125660181,Kaporal,KAPORAL - Topic (wordmark),0%,0%,,,ok
Q7642242,Super Champion,Super Champion - Topic,0%,0%,,,ok
Q6187356,Jessica McClintock,,,,,,no-data
Q6908680,Moosejaw,Moosejaw - Topic (wordmark),+160%,-60%,,,ok
Q28056374,Tezenis,Tezenis - Topic,-40%,-6%,,,ok
Q2903774,Gottex,Gottex - Company,>5000 (breakout),>5000 (breakout),,,ok
Q1072452,Chiemsee,Chiemsee - Topic,-20%,-30%,,,ok
Q6414100,Kinney Shoes,,,,,,no-data
Q307894,2(x)ist,2(X)IST - Topic,+130%,+130%,,,ok
Q110225120,Max Mara Fashion Group,Max Mara - Fashion company,+20%,+20%,,,ok
Q3299151,Matix,Matix - Company,>5000 (breakout),>5000 (breakout),,,ok
Q7111938,Outdoor Research,Outdoor Research - Topic,-10%,-20%,,,ok
Q18636419,The Elder Statesman,The Elder Statesman - Brand,+500%,+100%,,,ok
Q13657207,Padini,Padini - Apparel company,+8%,-30%,,,ok
Q4950452,Boutique La Vie en rose,,,,,,no-data
Q86327186,GHOST-Bikes,Ghost Bikes - Topic (wordmark),0%,0%,,,ok
Q55097814,Viyella,,,,,,no-data
Q111283880,Anine Bing,,,,,,no-data
Q131673087,Moose Knuckles,Moose Knuckles - Topic,>5000 (breakout),>5000 (breakout),,,ok
Q109825187,Boot Barn,,,,,,no-data
Q96657862,Yeezy Gap,Yeezy Gap - Topic,+50%,-60%,,,ok
Q6209926,Joe Fresh,Joe Fresh - Topic,+40%,+40%,,,ok
Q86682767,Sézane,,,,,,no-data
Q7994858,White House Black Market,White House Black Market - Topic,-6%,-20%,,,ok
Q19903688,Target Optical,Target Optical - Retail company,-4%,+1800%,,,ok
Q119056161,F. Engel,,,,,,no-data
Q28857986,Lorna Jane,Lorna Jane - Retail-store company,+40%,+1300%,,,ok
Q5298588,Dorothy Perkins,Dorothy Perkins - Fashion company,-50%,-40%,,,ok
Q7500007,Shoe Carnival,Shoe Carnival - Retail company,-10%,-30%,,,ok
Q18390679,Robert Graham,,,,,,no-data
Q5392021,IC Group,IC Group - Company,>5000 (breakout),>5000 (breakout),,,ok
Q115799492,Falguni Shane Peacock,,,,,,no-data
Q140069588,Dorko,,,,,,no-data
Q7654224,Sweaty Betty,,,,,,no-data
Q94776153,PME Legend,,,,,,no-data
Q5142575,Coldwater Creek,Coldwater Creek - Clothing company,+10%,-20%,,,ok
Q16850757,J Brand,,,,,,no-data
Q17109937,Rack Room Shoes,,,,,,no-data
Q18636520,Dolls Kill,Dolls Kill - Online retail company,+30%,+4%,,,ok
Q5024439,Calvin Klein Collection,,,,,,no-data
Q6268615,Johnston & Murphy,Johnston & Murphy - Footwear company,+6%,+900%,,,ok
Q16985816,C. Wonder,,,,,,no-data
Q2860764,Ardène,Ardene - Topic (wordmark),-10%,-5%,,,ok
Q125995969,The Attico,The Attico - Topic (wordmark),-20%,-30%,,,ok
