qid,brand,entity,search_mom,search_yoy,news_mom,news_yoy,status
Q1320295,Marithe + Francois Girbaud,Marithe et Francois Girbaud - Fashion company,+20%,+20%,,,ok
Q1371677,Etro,Etro - Accessories retail company,+2%,+20%,,,ok
Q3073195,Furla,Furla - Company,-60%,+30%,,,ok
Q934096,Red Wing Shoes,Red Wing Shoes - Design company,-20%,-70%,,,ok
Q107835110,House of Schiaparelli,Maison Schiaparelli - Fashion company,-30%,+70%,,,ok
Q2988422,Canada Goose Inc.,Canada Goose Inc. - Clothing company,+180%,-60%,,,ok
Q3274777,Evisu,Evisu - Clothing company,-4%,-20%,,,ok
Q4728473,AllSaints,AllSaints - Fashion (wordmark),+20%,+80%,,,ok
Q25047966,Golf Wang,Golf Wang - Company,-8%,-60%,,,ok
Q22910099,OBEY Clothing,Obey - Clothing company,+1%,-40%,,,ok
Q4902942,Biba,Biba - Fashion company,>5000 (breakout),-30%,,,ok
Q2456205,True Religion,True Religion Apparel - Clothing company,+20%,-30%,,,ok
Q6276279,"Jordache Enterprises, Inc.",Jordache - Clothing company,+750%,+30%,,,ok
Q17019662,Dr. Scholl's,Dr. Scholl's - Topic,+4%,-10%,,,ok
Q1030922,Camper,Camper - Shoe manufacturing company,+20%,+250%,,,ok
Q3269443,Lyle & Scott,Lyle & Scott - Topic (wordmark),-8%,-10%,,,ok
Q1417347,OshKosh B'Gosh,OshKosh B'gosh - Company,-2%,-9%,,,ok
Q927272,NKD,NKD - Discount store chain,-2%,+20%,,,ok
Q3878818,Charles & Keith,CHARLES & KEITH - Company,+70%,+120%,,,ok
Q25052459,Psycho Bunny,Psycho Bunny - Topic,+8%,-20%,,,ok
Q576316,Cacharel,Cacharel - Topic,-10%,-10%,,,ok
Q7366633,Roots Canada,Roots Canada - Retail company,+20%,-10%,,,ok
Q7156755,Payless ShoeSource,Payless - Shoes company,+9%,+6%,,,ok
Q457822,Fielmann,Fielmann AG - Eyewear company,+10%,+60%,,,ok
Q11188787,ABC-Mart,ABC-Mart - Retail company,-5%,-20%,,,ok
Q2670328,River Island,River Island - Retail company,-10%,-20%,,,ok
Q1837290,Mexx,Mexx - Topic,+100%,+80%,,,ok
Q430230,Coleman Company,Coleman - Manufacturing company,-10%,+10%,,,ok
Q39058850,Enfants Riches Déprimés,Enfants Riches Déprimés - Fashion brand,+6%,+40%,,,ok
Q3212802,La Senza,La Senza - Retail company,-20%,-30%,,,ok
Q50540636,Camp David,Camp David - Fashion,-10%,-20%,,,ok
Q534235,Jockey International,Jockey International - Retail company,0%,+160%,,,ok
Q1892752,Marc O'Polo,Marc O'Polo - Topic,-2%,-10%,,,ok
Q96791543,Yeezy,Yeezy - Company,-8%,-30%,,,ok
Q2152193,Rieker Shoes,Rieker Shoes - Footwear retail,0%,+250%,,,ok
Q7909026,Vakko,Vakko - Company,-20%,-9%,,,ok
Q2719846,Billionaire Boys Club,Billionaire Boys Club - Clothing retailer,+60%,-4%,,,ok
Q2979949,Club Monaco,Club Monaco - Clothing retail company,+40%,+400%,,,ok
Q1384784,Express,Express - Retail company,-1%,+80%,,,ok
Q6792377,Maui Jim,Maui Jim - Manufacturing company,-30%,-30%,,,ok
Q3073822,Superga,Superga - Topic,-20%,-10%,,,ok
Q4139985,Gloria Jeans,Gloria Jeans - Clothing retail company,+60%,+10%,,,ok
Q113992257,Cotton On Group,Cotton On - Topic,+10%,+10%,,,ok
Q17191383,Adastria,Adastria Co. - Retail company,-10%,-50%,,,ok
Q7121857,PacSun,PacSun - Retail company,+100%,-30%,,,ok
Q4828498,Avia,Avia - Activewear company,+3%,-20%,,,ok
Q20716793,Pink,Victoria's Secret PINK,+30%,0%,,,ok
Q1427623,Haglöfs,Haglöfs - Clothing company,+20%,+3500%,,,ok
Q1629990,CoverGirl,CoverGirl - Topic,-3%,-5%,,,ok
Q17141914,Scotch & Soda,Scotch & Soda - Design company,-20%,-20%,,,ok
Q43082416,Aimé Leon Dore,Aimé Leon Dore - Topic,-10%,>5000 (breakout),,,ok
Q1902277,Marmot,Marmot - Topic,-6%,-4%,,,ok
Q104846139,Savage X Fenty,Savage X Fenty - Company,-50%,-60%,,,ok
Q10853153,United Arrows,United Arrows Ltd. - Retail-store company,-30%,+4%,,,ok
Q950766,Safilo,Safilo S.p.A. - Company,-8%,-20%,,,ok
Q5715308,Henri Bendel,Henri Bendel - Department store company,+250%,-40%,,,ok
Q2967663,Church's,Church's - Company,-1%,+50%,,,ok
Q30589369,LuLaRoe,LuLaRoe - Fashion company,-10%,-5%,,,ok
Q22921009,Pierre Cardin,Pierre Cardin - Fashion company,+4%,+7%,,,ok
Q17149142,Suitsupply,Suitsupply - Suit company,0%,-6%,,,ok
Q4773903,Anthropologie,Anthropologie - Retail company,+200%,+150%,,,ok
Q3650853,Marni,Marni - Fashion company,-20%,-20%,,,ok
Q651470,etnies,Etnies - Footwear company,+6%,+5%,,,ok
Q3328552,Uterqüe,Uterqüe - Topic,+30%,-70%,,,ok
Q5915543,House of Worth,House of Worth - Fashion company,>5000 (breakout),-90%,,,ok
Q7107393,Osprey,Osprey - Manufacturing company,-10%,-70%,,,ok
Q3317844,Modell's,Modell's Sporting Goods - Online retail company,+30%,+90%,,,ok
Q2039867,Theory,Theory - Clothes company,+9%,-30%,,,ok
Q911217,Breuninger,Breuninger - Company,-7%,-9%,,,ok
Q1136426,Hackett,Hackett London - Clothing company,-30%,-40%,,,ok
Q1703526,JOOP!,JOOP! - Cosmetics company,-70%,>5000 (breakout),,,ok
Q1634723,Elan,Elan Skis - Topic,0%,-10%,,,ok
Q42332202,Bombas,Bombas - Topic,+2%,+20%,,,ok
Q17080812,Members Only,Members Only - Fashion brand,-20%,-40%,,,ok
Q1089081,Fiorucci,Fiorucci - Topic (wordmark),-20%,-30%,,,ok
Q7932495,Vineyard Vines,Vineyard Vines - Company,+30%,+250%,,,ok
Q5203233,D-A-S-H,,,,,,no-data
Q24939079,Max Fashion,Max Fashion - Topic (wordmark),-7%,+50%,,,ok
Q7408750,Samantha Thavasa,,,,,,no-data
Q18155981,Delvaux,Delvaux - Luxury goods company,+10%,-40%,,,ok
Q641722,John Lobb Bootmaker,John Lobb Bootmaker - Footwear company,-9%,+2%,,,ok
Q6925414,Mountain Warehouse,Mountain Warehouse - Retail,0%,-30%,,,ok
Q1028975,Jacques Fath,Jacques Fath - French fashion designer,>5000 (breakout),>5000 (breakout),,,ok
Q4838385,Baby Phat,Baby Phat - Fashion brand,+10%,+70%,,,ok
Q2551058,DSQUARED2,Dsquared2 - Company,-10%,-20%,,,ok
Q546542,A.P.C.,A.P.C. - Fashion brand,-20%,+7%,,,ok
Q4682711,Adidas Originals,Adidas Originals - Product line,-1%,+5%,,,ok
Q23672312,Herschel Supply Co.,Herschel Supply Co. - Company,-10%,-7%,,,ok
Q3160437,Jaeger,Jaeger - Fashion company,+2%,+30%,,,ok
Q21463374,Nordstrom Rack,Nordstrom Rack - Department store chain,+6%,-8%,,,ok
Q551889,Reusch,Reusch International - Sports equipment company,+50%,>5000 (breakout),,,ok
Q19988222,Tory Burch LLC,Tory Burch - Fashion brand,+2%,+20%,,,ok
Q3835099,Liu·Jo,Liu Jo - Fashion company,+40%,+40%,,,ok
Q107410579,Sinsay,Sinsay - Topic (wordmark),+8%,-1%,,,ok
Q7679064,Talbots,Talbots - Women's clothing store company,-5%,-9%,,,ok
Q1736294,Kathmandu,KMD Brands (Kathmandu) - Retail company,+9%,+110%,,,ok
Q958209,Springfield,Springfield - Topic (wordmark),-30%,-20%,,,ok
Q6063877,Koton,Koton - Clothing company,-7%,-9%,,,ok
Q55641424,Peter Millar (clothing company),Peter Millar - Clothing company,>5000 (breakout),+130%,,,ok
Q272361,Çalık Holding,Çalık Holding - Energy company,+550%,-7%,,,ok
Q3943471,Scarpa,Scarpa - Topic (wordmark),+1%,-4%,,,ok
Q4048384,Rockport Company,Rockport - Company,-5%,-20%,,,ok
Q1798938,La Martina,La Martina - Clothing company,+10%,-40%,,,ok
Q54817659,PrettyLittleThing,PrettyLittleThing - Fashion company,-5%,-20%,,,ok
Q3111039,MCS,MCS - Fashion brand,-10%,-5%,,,ok
Q18385610,Stitch Fix,Stitch Fix - Fashion company,0%,-20%,,,ok
Q172227,Playlife,Playlife - Fashion company,>5000 (breakout),>5000 (breakout),,,ok
Q107394262,Ami Paris,AMI Paris - Fashion company,+30%,+300%,,,ok
Q54869493,Bimba y Lola,Bimba y Lola - Topic (wordmark),-6%,-10%,,,ok
Q138318202,Syrn,,,,,,no-data
Q2896348,Blundstone Australia Pty Ltd,Blundstone - Topic (wordmark),+30%,0%,,,ok
Q6115814,Jack Wills,Jack Wills - Clothing company,-60%,-90%,,,ok
Q4112833,Caleres,Caleres - Footwear company,-9%,+100%,,,ok
Q8075252,Zumiez,Zumiez - Clothing accessories stores company,+4%,-10%,,,ok
Q6766373,Mark's,Mark's - Clothing retail company,+3%,-6%,,,ok
Q5476569,Fox-Wizel Ltd.,,,,,,no-data
Q6697865,Lucky Brand Jeans,Lucky Brand - Company,+40%,-20%,,,ok
Q873447,Gerry Weber,Gerry Weber - Company,+9%,-70%,,,ok
Q25351619,Aerie,Aerie - Clothing retailer,+20%,+2950%,,,ok
Q5204244,DAKS,DAKS - Company,+10%,+950%,,,ok
Q4120731,Andrew Christian,Andrew Christian - Company,+200%,-60%,,,ok
Q184399,Zeeman,Zeeman - Store,+3%,+10%,,,ok
Q136311,Sunglass Hut,Sunglass Hut - Company,-20%,-4%,,,ok
Q6523209,LensCrafters,LensCrafters - Retail,-3%,-10%,,,ok
Q12391713,Lefties,Lefties - Company,-70%,+50%,,,ok
Q3504397,Avirex,Avirex - Clothing company,-20%,-20%,,,ok
Q3783405,Harmont & Blaine,Harmont & Blaine - Topic (wordmark),-10%,-20%,,,ok
Q9294202,House,House - Topic (wordmark),0%,0%,,,ok
Q5000795,Burton,Burton - Retailer,0%,+300%,,,ok
Q3475516,Schott NYC,Schott NYC - Clothing company,+20%,-40%,,,ok
Q6485350,Lane Bryant,Lane Bryant - Specialty retail company,-3%,-10%,,,ok
Q12061509,Matalan,Matalan - Clothing retail company,-9%,-20%,,,ok
Q101108013,George,George - Topic (wordmark),0%,+1%,,,ok
Q2076935,Munich,Munich - Topic (footwear),+10%,-20%,,,ok
Q3974532,Storm Management,Storm Management - Modeling agency company,+1250%,+450%,,,ok
Q2567594,Wicked Weasel,Wicked Weasel - Topic (wordmark),-9%,-50%,,,ok
Q7444725,Sector No Limits,Sector No Limits - Company,-7%,-20%,,,ok
Q787601,Chevignon,Chevignon - Topic (bird logo),-3%,-10%,,,ok
Q5499945,Free People,Free People - Retail company,-20%,+5%,,,ok
Q3566715,Wati B,Wati B - Music company,+150%,+350%,,,ok
Q4970227,British Knights,British Knights - Topic (BK logo),-3%,-20%,,,ok
Q241295,Miss Sixty,Miss Sixty - Topic (wordmark),+4%,-7%,,,ok
Q1654538,Replay,Replay - Topic (wordmark),-3%,-10%,,,ok
Q131721678,Christian Dior Couture,Dior - Fashion company,-3%,-10%,,,ok
Q6106802,J. Press,J. Press - Company,+50%,-10%,,,ok
Q1758066,Pimkie,Pimkie - Topic (P logo),-30%,-20%,,,ok
Q5206207,Designer Brands,Designer Brands - Shoe stores chain,+9%,-9%,,,ok
Q129676852,Rabanne,Rabanne - Fashion company,+300%,+150%,,,ok
Q1786717,Lindex,Lindex - Chain,-10%,-2%,,,ok
Q11788344,CCC,CCC - Topic (shoes&bags logo),-20%,-20%,,,ok
Q65042966,R. M. Williams,R. M. Williams - Manufacturing company,-20%,-50%,,,ok
Q48797459,Zimmermann,Zimmermann - Fashion label,-20%,+4%,,,ok
Q7136948,Parfois,Parfois - Topic (wordmark),-9%,+30%,,,ok
Q3368657,Pataugas,Pataugas - Topic (wordmark),-10%,+5%,,,ok
Q7857512,Tween Brands,,,,,,no-data
Q103847272,Melon Fashion Group,,,,,,no-data
Q1578717,Rochas,Rochas - Fashion company,-30%,+6%,,,ok
Q3356778,J.Lindeberg,J.Lindeberg - Clothing company,-10%,+400%,,,ok
Q60755814,J. Peterman Company,J. Peterman - Topic (wordmark),+90%,-10%,,,ok
Q3574548,Zadig & Voltaire,Zadig & Voltaire - Fashion brand,+5%,-10%,,,ok
Q12063852,New Look,New Look - Retail chain company,0%,-70%,,,ok
Q1987861,WE,WE - Clothing retail company,-10%,+2%,,,ok
Q4176650,Tiger of Sweden,Tiger of Sweden - Clothing company,+80%,+70%,,,ok
Q7310479,Reiss,Reiss - Fashion company,-20%,+250%,,,ok
Q23893788,Ivy Park,Ivy Park - Topic (wordmark),-20%,-40%,,,ok
Q19573665,Peter England,Peter England - Topic (wordmark),-30%,-70%,,,ok
Q17101930,Jil Sander,Jil Sander - Topic (wordmark),-7%,-20%,,,ok
Q3516993,Tecnifibre,Tecnifibre - Sports equipment company,+450%,-100%,,,ok
Q1485347,Skagen Designs,Skagen Denmark - Company,-10%,+60%,,,ok
Q3905226,PINKO,Pinko - Fashion,-7%,+50%,,,ok
Q18577819,Blanc & Eclare,Blanc & Eclare - Topic (wordmark),+850%,+200%,,,ok
Q1371302,Takko Fashion,Takko - Chain,-4%,-4%,,,ok
Q7488518,Shanghai Tang,Shanghai Tang - Company,+50%,+90%,,,ok
Q1373540,Frederick's of Hollywood,Frederick's of Hollywood - Company,+9%,+110%,,,ok
Q138543842,Matières Fécales,Matières Fécales - Topic,0%,0%,,,ok
Q7747373,The Limited,The Limited - Clothing company,+40%,+150%,,,ok
Q42306166,Snipes,Snipes - Company,-3%,0%,,,ok
Q1783759,Kookai,Kookai - Topic (wordmark),+10%,+30%,,,ok
Q2475146,Ulla Popken,Ulla Popken - Clothing company,-10%,+200%,,,ok
Q3641225,Blufin,Blufin - Fashion company,>5000 (breakout),>5000 (breakout),,,ok
Q6756978,Marchesa,Marchesa - Brand,0%,-2%,,,ok
Q5709676,Helmut Lang,Helmut Lang - Fashion brand,-2%,-20%,,,ok
Q431607,Wolford,Wolford - Underwear company,-10%,-20%,,,ok
Q6371145,Kariyushi shirt,Kariyushi shirt - Topic (garment),-40%,-20%,,,ok
Q16834657,The Edinburgh Woollen Mill,Edinburgh Woollen Mill - Clothing retail company,-2%,-10%,,,ok
Q4035334,Bossini,Bossini - Company,+40%,-20%,,,ok
Q48770898,Buck Mason,Buck Mason - Clothing retail company,+10%,+20%,,,ok
Q270013,7 for all Mankind,7 for All Mankind - Jeans company,0%,-6%,,,ok
Q1523089,Laura Ashley plc,Laura Ashley Holdings - Fashion company,-20%,+3200%,,,ok
Q881017,Bogner,BOGNER - Company,+2%,+2600%,,,ok
Q5322052,E. Marinella,E. Marinella - Company,-30%,+10%,,,ok
Q4904902,Big 5 Sporting Goods,Big 5 Sporting Goods - Sporting goods company,0%,-20%,,,ok
Q4766699,Ann Taylor,Ann Taylor - Topic (wordmark),0%,-20%,,,ok
Q116783961,Palm Angels,Palm Angels - Topic (wordmark),-4%,-20%,,,ok
Q3866987,Mulberry,Mulberry Group plc - Fashion company,-9%,+9%,,,ok
Q4878313,Bebe Stores,Bebe Stores - Retail company,-6%,-40%,,,ok
Q877571,Blizzard Ski,Blizzard Sport - Company,+250%,+110%,,,ok
Q50428076,Rebecca Minkoff,Rebecca Minkoff - Clothing brand,+7%,-20%,,,ok
Q1049887,Castro Model Ltd.,,,,,,no-data
Q6204078,Jos. A. Bank Clothiers,Jos. A. Bank Clothiers - Retail company,+8%,-20%,,,ok
Q7937938,Vivobarefoot,Vivobarefoot - Company,-10%,-30%,,,ok
Q3661184,Ermanno Scervino,Ermanno Scervino - Design company,+20%,>5000 (breakout),,,ok
Q87193804,Scalpers,Scalpers - Topic (wordmark),-9%,-8%,,,ok
Q1130841,Proenza Schouler,Proenza Schouler - Fashion brand,-9%,-20%,,,ok
Q3472022,Sandro Paris,Sandro - Clothing brand,-10%,-1%,,,ok
Q6915425,Moscot,Moscot - Company,-30%,-40%,,,ok
Q5647849,Hang Ten,Hangten - Topic (wordmark),+6%,>5000 (breakout),,,ok
Q4942546,Bonobos,Bonobos - Store chain,-6%,-20%,,,ok
Q2234831,Schiesser,Schiesser - Company,+100%,+800%,,,ok
Q3889076,Pal Zileri,Pal Zileri - Topic (wordmark),+70%,+20%,,,ok
Q22662572,Nivia Sports,Nivia Sports - Sports equipment chain,>5000 (breakout),>5000 (breakout),,,ok
Q6545496,Lifestyle Stores,Lifestyle - Store chain,+10%,+20%,,,ok
Q4781133,Apple Bottoms,Apple Bottoms - Topic (brand),+10%,-50%,,,ok
Q420765,Akris,Akris - Fashion design company,+40%,+100%,,,ok
Q5521860,Garage,Garage - Topic (brand),+10%,-20%,,,ok
Q7282768,Rag & Bone,Rag & Bone - Topic (wordmark),+4%,-4%,,,ok
Q2436187,Nudie Jeans,Nudie Jeans - Clothing chain,+5%,+10%,,,ok
Q4936481,Boden,Boden - Clothing industry chain,+7%,+70%,,,ok
Q3645820,Bruno Magli,Bruno Magli - Design company,+700%,+30%,,,ok
Q62610375,Wellensteyn International GmbH & Co. KG,Wellensteyn - Topic (brand),+30%,-20%,,,ok
Q5437186,Fat Face,Fat Face - Company,+20%,-30%,,,ok
Q5512676,G2000,G2000 - Topic (wordmark),0%,-8%,,,ok
Q3779868,Guru,,,,,,no-data
Q4349016,KappAhl,Kappahl - Company,-10%,+120%,,,ok
Q11341902,Mikimoto,K. Mikimoto & Co. - Company,-40%,-60%,,,ok
Q3473599,Sarenza,Sarenza - Company,-30%,-30%,,,ok
Q1473396,Valentino Fashion Group,,,,,,no-data
Q93451035,Boggi Milano,Boggi - Topic (wordmark),-20%,+150%,,,ok
Q12331072,Paul & Shark,Paul & Shark - Clothing chain (company),-90%,>5000 (breakout),,,ok
Q18386374,K-Plus,,,,,,no-data
Q47155680,Kari,Kari - Topic (wordmark),-80%,>5000 (breakout),,,ok
Q7576421,Sperry Top-Sider,Sperry Top-Sider - Topic,-20%,-6%,,,ok
Q539507,Icebreaker,Icebreaker - Clothing chain (company),-10%,+40%,,,ok
Q11293025,OWNDAYS,"Owndays Co., Ltd. - Company",-7%,-20%,,,ok
Q1986392,Turnbull & Asser,Turnbull & Asser - Clothing chain (company),-3%,+3%,,,ok
Q2990868,Comptoir des Cotonniers,Comptoir des Cotonniers - Company,+10%,+1500%,,,ok
Q4947278,Bosideng,Bosideng - Clothing chain (company),-50%,+250%,,,ok
Q5962345,Hysteric glamour,Hysteric Glamour - Design company,+30%,-6%,,,ok
Q131445771,Rapha,Rapha - Company,+100%,0%,,,ok
