qid,brand,description,sitelinks,en_title,n_wikipedias,review_flag,pv_median,trends_score,news_score,wiki_mom,wiki_yoy,wiki_latest,search_mom,search_yoy,news_mom,news_yoy,elig_pv,elig_trends,elig_news,trends_ratio,news_ratio,pv_ratio,sources,attention,breadth,raw,rank,interest_index,tier
Q2282172,Yves Saint Laurent,French luxury fashion house,40.0,Yves Saint Laurent (fashion house),40,,25314.0,417.83,368.99,-2%,-24%,17168.0,+1%,+1%,+400%,>5000 (breakout),True,True,True,0.49813151222211727,0.41990156327896516,0.4909284966538522,trends+news+pv,0.47322192442551864,0.7025034107220263,0.5076141473699948,18,51.8,B
Q137023,Primark,Irish clothing retailer,36.0,Primark,35,,38519.0,317.26,446.26,-8%,-38%,30570.0,+9%,+7%,+120%,>5000 (breakout),True,True,True,0.43406209973045906,0.46177899455530197,0.6055853439982245,trends+news+pv,0.476681817031465,0.6664532525755065,0.5051475323630712,19,51.5,B
Q635484,Giorgio Armani,Italy-based international luxury fashion house,52.0,Armani,51,,33927.0,282.52,336.67,-2%,-43%,20614.0,+2%,-3%,+500%,>5000 (breakout),True,True,True,0.4096083542277703,0.40109052502263437,0.5683430892778913,trends+news+pv,0.4387999524762537,0.8009771249535805,0.4931265283478527,20,50.3,B
Q1641437,Ralph Lauren,American fashion and lifestyle company,24.0,Ralph Lauren Corporation,23,,28108.0,438.63,336.67,+2%,-36%,19890.0,+40%,-20%,+400%,>5000 (breakout),True,True,True,0.5103796772101226,0.40109052502263437,0.5173123261973792,trends+news+pv,0.4789794613513274,0.5441568020760632,0.4887560624600377,21,49.9,B
Q1686544,Loro Piana,Italian Luxury Company,30.0,Loro Piana,30,,22662.0,,,-4%,-43%,20624.0,+50%,+400%,>5000 (breakout),>5000 (breakout),True,False,False,0.0,0.0,0.46450134065747567,pv,0.46450134065747567,0.6083857999304881,0.48608400954842756,22,49.6,B
Q152784,The North Face,American company featuring outdoor apparel and sportswear,36.0,The North Face,36,,36590.0,404.12,154.01,+7%,-37%,24562.0,+8%,+20%,+700%,>5000 (breakout),True,True,True,0.4898909077589036,0.2712780491861634,0.5902269816186382,trends+news+pv,0.44437426495902843,0.6664532525755065,0.4776861131015001,23,48.7,B
Q136503,Mango,clothing design and manufacturing company,32.0,Mango (retailer),30,,14686.0,444.12,304.08,-17%,+37%,18839.0,-10%,+1%,+130%,>5000 (breakout),True,True,True,0.513563763217633,0.3811835247097141,0.373929402984458,trends+news+pv,0.44592281961862235,0.6283381523199622,0.47328511952382335,24,48.3,B
Q1068628,Calvin Klein,American fashion house,47.0,Calvin Klein (fashion house),46,,28300.0,284.12,210.78,+49%,-44%,28090.0,-3%,-10%,+600%,>5000 (breakout),True,True,True,0.41076658742964856,0.31736197732020505,0.5190761466052073,trends+news+pv,0.40440711623192727,0.7614955511619184,0.4579703814714259,25,46.7,B
Q2121887,Polo Ralph Lauren,,2.0,,1,,,438.63,,,,,+5%,-5%,+400%,>5000% (breakout),False,True,False,0.5103796772101226,0.0,0.0,trends,0.5103796772101226,0.15708453807999054,0.45738540634060276,26,46.7,B
Q2031485,Under Armour,American sports clothing and accessories company,39.0,Under Armour,38,,33695.0,244.35,283.84,-6%,-14%,28486.0,+9%,-5%,+600%,+1250%,True,True,True,0.3809345627901868,0.36827903146252083,0.5663965307131807,trends+news+pv,0.4142302969764858,0.6936665380600233,0.4561457331390164,27,46.5,B
Q696376,Versace,Italian luxury fashion company,60.0,Versace,58,,44262.0,207.54,141.92,-13%,-36%,28786.0,+3%,-10%,+1150%,>5000 (breakout),True,True,True,0.3510711268022807,0.2604126005159623,0.6491624208038228,trends+news+pv,0.38349182771669366,0.8603874494169007,0.4550261709717247,28,46.4,B
Q309031,Lacoste,French clothing and footwear company,59.0,Lacoste,56,,32838.0,250.52,129.83,-5%,-23%,35257.0,+4%,-9%,>5000 (breakout),>5000 (breakout),True,True,True,0.3857140053781441,0.2490736137063136,0.5591472630955491,trends+news+pv,0.3794085394200759,0.8531874278622592,0.45047537268640336,29,46.0,B
Q2945643,Skechers,American shoe company,24.0,Skechers,23,,29915.0,341.95,227.07,-6%,-17%,27120.0,+3%,+50%,+400%,>5000 (breakout),True,True,True,0.4506356137152967,0.329397328976166,0.5336817574261385,trends+news+pv,0.4308733570357259,0.5441568020760632,0.44786587379177645,30,45.7,B
Q21030814,Jacquemus,French fashion designer and tailor,13.0,Simon Porte Jacquemus,12,,21716.0,,,,,16149.0,,,,,True,False,False,0.0,0.0,0.4547029488295544,pv,0.4547029488295544,0.40048856247679027,0.4465707908766398,31,45.6,B
Q1135366,Vans,American manufacturer of shoes,39.0,Vans,38,,17533.0,333.26,178.45,-2%,-24%,14304.0,+9%,-2%,+250%,no-data,True,True,True,0.4448727473970291,0.2920105009938465,0.4085695258561786,trends+news+pv,0.39175342916790423,0.6936665380600233,0.4370403955017221,32,44.6,B
Q420953,Air Jordan,"brand of shoes and athletic clothing designed, owned, and produced for Michael Jordan by Nike",31.0,Air Jordan,30,,43299.0,129.37,425.76,-3%,-21%,35830.0,+2%,-20%,+130%,+1100%,True,True,True,0.27717942918581967,0.45104785502478406,0.6420617340575603,trends+news+pv,0.4023164179118571,0.6184424448636767,0.43473532195463005,33,44.3,B
Q491627,Hugo Boss,Germany fashion company,48.0,Hugo Boss,47,,60108.0,179.2,60.18,-20%,-28%,44084.0,-6%,-50%,+450%,>5000 (breakout),True,True,True,0.3262219727220362,0.16957674115926524,0.7564913962698078,trends+news+pv,0.3652822879627592,0.7695539295535406,0.4259230342013764,34,43.4,B
